,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,GT,F,T,M0nu,E_parent,E_daughter,GT_HF,F_HF,T_HF,M0nu_HF,E_parent_HF,E_daughter_HF,E_parent_EMAX_4,E_daughter_EMAX_4,GT_EMAX_4,F_EMAX_4,T_EMAX_4,C,M0nu_EMAX_4,E_parent_EMAX_6,E_daughter_EMAX_6,GT_EMAX_6,F_EMAX_6,T_EMAX_6,C_EMAX_6,M0nu_EMAX_6,E_parent_EMAX_8,E_daughter_EMAX_8,GT_EMAX_8,F_EMAX_8,T_EMAX_8,C_EMAX_8,M0nu_EMAX_8,E_parent_EMAX_10,E_daughter_EMAX_10,GT_EMAX_10,F_EMAX_10,T_EMAX_10,C_EMAX_10,M0nu_EMAX_10,sample
493,-0.3416022848209109,-0.345640486090581,-0.3427054744902228,-0.2366734614003121,2.61001042730912,0.457561456870398,-0.034310297738304,-1.0573454727164069,0.7764080331545617,0.2968706857763176,-0.9353983780534534,-0.7335735055062059,-0.5240642825458393,-0.5985050129255349,0.8745581455063308,0.0037866990960155,0.1971997830287146,2.333705,0.4365943331886663,-0.888987,2.754130238824478,-708.241303,-713.608842,0.329121,0.045515531031062,-0.011437,0.4403893134106268,-293.912562,-290.857191,-330.82210487000003,-331.45646639,0.8856948670784724,0.2224551600875497,-0.1486268914264991,1.1289739709315594,0.959523135739523,-482.35474475,-485.49609688,1.7460216921917082,0.32862919123823364,-0.5634632153274038,1.9727722125126608,1.5111876681025378,-604.95052072,-609.48757157,2.053661708151286,0.3213618200936373,-0.7494151643770222,2.133118360351478,1.6256083638679013,-676.893902,-681.94920317,2.2330405556698727,0.30699884114721404,-0.8353994850944649,2.1851095070787303,1.704639911722622,
3621,-0.3264048279789047,-0.3282055724525285,-0.3230923097582523,-0.2566311905954245,2.417957994071896,0.9277876186822712,0.173518304339674,-1.0406572670625815,0.8806480702329925,0.6131215185980117,-0.7921023199710944,-0.7449598227449935,-0.204746855495458,-1.019691013973604,1.2288636111604594,0.0863241605855038,0.0455845661112783,0.853137,0.2122140244280488,-0.275913,1.1699832535185068,-681.457637,-685.684952,0.209419,0.0320949841899683,-0.007919,0.2904839419678839,-419.000246,-417.120353,-442.51373331,-443.64812352,-0.4141279295876374,-0.13092369803914067,0.0663102947566202,-0.702768980252951,-0.47874133287015785,-555.04537777,-558.77963042,0.7405894315197613,0.18556472353561154,-0.2143814353911027,1.0184284088547448,0.7117727196642702,-629.23682763,-633.64735951,0.8388976364812782,0.1861813249564921,-0.2567323948002092,1.0386513988090815,0.7683465666375613,-667.1035493,-671.35231266,-0.8497979365672658,-0.17633171911517434,0.2667958751337043,-1.0086310576134685,-0.7593337805487359,
606,-0.3594220608452177,-0.3547649681862777,-0.3536285157466495,-0.2662355445740623,2.7981468372978657,0.3495605259829745,-0.1129164316373507,-1.2830261056434134,1.0495624500519405,0.4745147804908662,-0.8804434983266688,-0.7371841298161885,-0.7164572676977321,-0.3653970111109855,0.832127343120201,-0.0887398488613979,0.077010386749274,0.143201,0.1568299336598672,-0.189418,0.3547134978609956,-651.26694,-659.293353,0.066174,-0.0476997953995907,-0.038653,-0.0930712251844503,-371.678385,-374.083058,-395.59002756,-401.17923876,-0.3947171908352913,-0.15051575884854887,0.0753932615516235,-0.7467979495153023,-0.46983968813221666,-510.7941311,-518.0636886,-0.6360864339876334,-0.20565181469528135,0.2286334632313876,-1.0750246456736678,-0.6131047854515272,-592.35506331,-600.4689528,-0.6296730417258752,-0.19042652980354363,0.2589775304154941,-1.0140051297740824,-0.5611220411139247,-636.53190516,-644.67828998,-0.5945855209000629,-0.17124689210801644,0.2582842067337048,-0.93859860967077,-0.5075482062743746,
3480,-0.3476941474492906,-0.3473348852781711,-0.3481059071493038,-0.2609638664196743,2.637100543609693,1.3770673213385958,0.0076805951650384,-1.2875838179438768,1.0075617091410152,0.4616576184280981,-0.9711009691179022,-0.7421086522415867,-0.573363788105585,-0.5290396498362158,0.9299770526544904,-1.8932248439923245,-0.4514567635889441,1.386992,0.360521421042842,-0.313547,2.0095683802467605,-646.57057,-647.587287,-0.969222,-0.1240362080724161,-0.020133,-1.3443753980407962,-375.812017,-368.180937,-397.37847275,-392.99340702,1.1136178257928049,0.2663299387553443,-0.1031463579213648,1.1262976784178174,1.2768014066267845,-505.60390274,-505.54360418,1.44829660471558,0.35757973702404616,-0.2681816009333704,1.5865772292137528,1.5376947408062558,-585.66471346,-586.62953909,1.4177965052755293,0.3445901016388489,-0.296031041777076,1.556207491994838,1.4663555651373021,-629.34114921,-630.32914587,1.4013519684126294,0.3317780499799916,-0.3054303053090874,1.518084214451263,1.4276997130835336,
3260,-0.3396644124196843,-0.3389846396874106,-0.336819430596039,-0.2509318303174991,2.482879461743659,0.6658831564189089,-0.0889619828897958,-1.3475300959100744,0.9268922308629548,0.3401872709068538,-0.9668331824563572,-0.7315889600341652,-0.6211168047204902,-0.4822938133369637,0.8656942690565413,1.872068392428519,0.2204635351337224,2.878091,0.4715890631781263,-1.051721,3.2457641347882698,-710.474159,-714.462156,0.320911,0.0436716473432946,-0.011423,0.4259468009176018,-300.169263,-296.797915,-337.21831291,-336.81019108,-1.0054155978681618,-0.2111814810857378,0.1585714305077056,-1.0398418539400514,-1.0580256484461938,-485.53287631,-487.60301138,2.100913851792884,0.3398101283824292,-0.58547654693619,1.8820805541149916,1.8552474332391231,-607.7674186300001,-611.0474138,2.4979887903888747,0.3455199272404493,-0.8152494368878205,2.139335033873713,2.028259280741503,-679.22799205,-682.91355965,-2.74068899096467,-0.3390185539856874,0.957061956836174,-2.279955301013363,-2.1226455881141835,
2411,-0.3398756700956037,-0.3455371508219241,-0.3456112061913234,-0.2522923682889628,2.694096971466309,0.6445420412598317,0.0180105941623175,-1.1813965685314132,0.8585119874300451,0.488693034772815,-0.6833478624388982,-0.7575081635767182,-0.391522810845531,-0.8118946101597916,0.99624912159064,-0.2050479404388385,0.1964446854258679,-0.160194,0.1423615847231694,-0.174005,0.0173691071362142,-625.740386,-631.61465,0.04168,-0.0495256990513981,-0.05111,-0.1369843431086862,-345.178397,-346.008359,-367.37131475,-369.13520354,-0.1273491245990443,-0.09034675227552243,0.0672598356769611,-0.5692902092898087,-0.15043604119760562,-489.75287322,-494.75558131,-0.3746773294419074,-0.1838327410997047,0.2251752319208871,-1.0096026317699267,-0.3333348386207251,-568.93248665,-574.8591949,-0.3411235503515558,-0.17046513972208954,0.2459947384026379,-0.933166878167849,-0.26559395167100736,-611.36335361,-617.34072227,-0.2990434889981385,-0.14948236355192107,0.2361801307955794,-0.8383167617465154,-0.21234572175448016,
3350,-0.3442379379228477,-0.3456923592943858,-0.3391006674024883,-0.2709790087594915,2.5601904610280526,0.5745976313217145,-0.05938666435505,-1.2436194836414876,1.0534807650964182,0.6215207103641665,-0.8404396615472809,-0.7331584091315285,-0.5863674965775705,-0.5082801978863416,0.9519726527107666,0.3192938208764606,0.0229545770671892,0.787264,0.2400626201252402,-0.261045,1.2013550902721806,-640.610237,-647.077482,-0.082007,-0.0584816169632339,-0.038884,-0.2787250876681753,-403.733117,-404.541989,-423.33450918000005,-427.49686012,0.7342148493187814,0.19406430859686222,-0.089534490221989,0.9676955425058152,0.8387446676936546,-530.118776,-536.12134246,1.247265751535444,0.2714184489526764,-0.2672878275993803,1.4689475801919287,1.25139637288874,-598.68904963,-605.44735448,-1.3424833282130562,-0.266924181982452,0.3134595190109005,-1.489108143758296,-1.2959479911846077,-631.9388998,-638.57664421,1.3383894306616444,0.25363059569332946,-0.3239753276831744,1.442307932804359,1.2680446986717997,
922,-0.3537476171450681,-0.350856884767562,-0.3487934503112008,-0.253618146678772,2.773731393867955,1.0432461798144828,-0.0517954230835154,-1.330810160771838,0.8955546426707535,0.4413811670690248,-0.87785381861449,-0.7335102559995782,-0.548548911276551,-0.6015406458703647,0.9794823349569456,-0.3354904601051234,0.1003195517692603,0.168062,0.1516101432202864,-0.200305,0.3639193163246326,-666.183599,-671.618514,0.240975,0.0389081778163556,-0.010427,0.3405726760493521,-371.214559,-370.788981,-396.33800268,-399.07224605,0.2475949743004046,0.12473236531747864,-0.0447873162306348,0.642910171210238,0.3275400233872484,-510.81276283,-515.51785359,0.2062005710868242,0.14639619935666456,-0.1697486824242436,0.7926431967613479,0.1828480880192452,-597.28435109,-602.77896933,0.1852272957741423,0.13658866579892212,-0.1947426040460598,0.7408491191112032,0.1270733575270046,-646.06325547,-651.53294581,0.176313448698831,0.12391120963633344,-0.1961695981913377,0.6897157555129129,0.10405506014382673,
1173,-0.3560173064201306,-0.3507986263955409,-0.3547820615495674,-0.2564566216140248,2.7497300189470626,1.0704139658338472,-0.050260192843356,-1.2961997120340432,0.963408424668295,0.4058427831469988,-0.9138052748724188,-0.7601591672251707,-0.5708265047555823,-0.5805547436000791,0.9070394928147656,0.4001553052023694,0.115989825614906,0.565726,0.2125389050778101,-0.259362,0.838393512059024,-681.753362,-684.968339,0.305817,0.0493651187302374,-0.01,0.4200480124620249,-364.950113,-362.098271,-391.59015568,-391.14673121,0.4958976465396919,0.1656167986358624,-0.0691550705471191,0.7414859006026825,0.5923593746284352,-514.40476581,-516.77709268,0.6727636303183834,0.21865633692209505,-0.2223535872901615,0.9892261588733816,0.6690663799503169,-606.5889919,-609.81723036,0.622757364102691,0.20092892791578126,-0.2499991325729601,0.9295478613352268,0.5736871594455121,-659.42485562,-662.6290185299999,-0.5787685064796826,-0.18073034956613515,0.2516697587812402,-0.8645178456201951,-0.5078290972645776,
1802,-0.3239761439274917,-0.3320161825355383,-0.3301593259624173,-0.2347746196064684,2.4363988035743698,0.7910236299738354,0.0435096045242473,-1.2333958598508856,0.6894692657564063,0.4049931302813361,-0.878532151817307,-0.7293767736208129,-0.3669121788807007,-0.7740915907798949,1.0598631175281932,-1.0472543565297374,-0.2027475373206358,1.562443,0.3413268026536052,-0.647794,1.992704304110608,-694.500467,-694.234112,,,,,,,-387.49814569,-385.04076586,-0.5615576535780011,-0.15928897977764028,0.0788078007288683,-0.8457113867037505,-0.6420388326267731,-511.6217242,-510.51110147,0.9524195014290696,0.22896138080288714,-0.345134016175401,1.4307648169838194,0.8362468660565556,-612.91546133,-612.46559069,1.2078940283503092,0.24280496330753953,-0.488013477994609,1.6136491378154334,0.9626855136632397,-670.54582868,-670.30341683,-1.4062420878527364,-0.24937051550700273,0.573105790835226,-1.727901082473337,-1.0825068125245132,
