,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,GT,F,T,CT,$M^{0\nu}$,Eparent,Edaughter,Qvalue,Rch,DGT,2+_parent,2+_daughter,$\sigma\tau$,B(E2),$M^{2\nu}$,GT_HF,F_HF,T_HF,CT_HF,$M^{0\nu}$_HF,Eparent_HF,Edaughter_HF,Qvalue_HF,Rch_HF,DGT_HF,2+_parent_HF,2+_daughter_HF,$\sigma\tau$_HF,B(E2)_HF,$M^{2\nu}$_HF
90,-0.34109424987858816,-0.34010080665540515,-0.34300173056858185,-0.24481398177558622,2.646358604435898,1.470509143052857,0.08639548595167101,-1.067311929723883,0.8662559698231979,0.36552003663004984,-0.7932613171462731,-0.7143131320859712,-0.3007045738253089,-0.8379474626765888,1.1031885440025904,0.534864563435137,0.2914674307377614,0.736299,0.313014446028892,-0.298462,0.3995901791803583,1.1504416252092504,-609.762295,-613.269443,5.0771480000000295,4.182081,-0.425097,1.12166404,1.23083186,0.029429,,-0.00518448195568,0.396936,0.064276148552297,-0.001996,0.0826946493892987,0.5419107979415958,-271.38372,-267.462401,-2.3513189999999824,,,,,,,
723,-0.3384276254821959,-0.3443678224757009,-0.34015557719850925,-0.2448686658540285,2.665526512796533,0.9720353166772717,0.12329715140739739,-0.8549746459040758,0.8887495963411257,0.31578352815080846,-0.8704104124163468,-0.7477087558235176,-0.36786866838251614,-0.82897182303974,1.032171489418606,0.2108799686999836,0.4382971653458081,0.41369,0.2673426746853493,-0.337196,0.3960613801227602,0.7398980548081096,-628.987025,-633.022476,5.605450999999967,4.128206,-0.861609,0.93187014,1.09963614,0.055167,,-0.0424490244256769,-0.143516,-0.0607148614297228,-0.016524,-0.0867338334676669,-0.3074886948973898,-254.04409,-249.164484,-3.309606000000024,,,,,,,
2125,-0.3492959885221857,-0.34782984781018195,-0.34508667641179025,-0.2511786528530958,2.775803286772517,0.5112602008352124,-0.014905178758761184,-0.995633441576808,0.9324833233944624,0.3582225660648812,-0.7870008632071823,-0.7077442207697082,-0.4419325455741435,-0.706367236414246,0.9984838039141539,0.4938655101598384,0.3726713754128934,-0.026504,0.1496633393266786,-0.189,0.1993875627751255,0.1335469021018041,-616.899789,-624.785314,9.455524999999916,,-0.73941,0.57959837,0.65226207,,,-0.0402092877878402,0.091905,-0.0457362514725029,-0.035479,-0.059517887035774,-0.048828138508277,-269.477284,-270.96505,3.057766000000022,,,,,,,
2245,-0.34240323129617756,-0.35032472987219937,-0.3479030299854192,-0.2693237107142308,2.627394935850898,0.4989972575496257,-0.030353563316689702,-1.1652503601523836,1.028755380071928,0.6349284378916354,-1.0028720005834124,-0.7289296974660681,-0.6674837051910362,-0.3787215395426105,0.8731463042258956,1.7788473006491987,0.23957906449703692,0.924271,0.1806950213900427,-0.359825,0.3911119102238204,1.1362529316138632,-699.06837,-700.438765,2.9403950000000307,3.940344,0.057749,0.51144852,0.64017454,-0.158447,,0.0265558219305945,-0.062261,0.002254324508649,-0.002931,0.0231529543059086,-0.0397847211854423,-413.736353,-407.17702,-4.989332999999981,,,,,,,
1469,-0.355869510812514,-0.346321335714712,-0.34934019169236136,-0.2528899841778904,2.760598352577721,1.090320037637155,-0.06671860665709206,-1.2866320287360464,0.8586778850204451,0.516909575453787,-0.8384809251001734,-0.703499754839359,-0.46501495228627987,-0.6531962007508492,0.962466523486354,1.6866609705814395,0.41126009744672243,-0.075195,0.13250046500093,-0.170534,0.1797738235476471,0.0665452885485771,-664.883835,-670.30441,6.9905749999999856,4.027882,-0.582176,0.42514263,0.54263532,,,-0.0238460708282225,0.022578,-0.034751069502139,-0.016553,-0.0549214458428916,-0.0836475153450306,-366.651922,-364.685686,-0.3962360000000375,,,,,,,
1177,-0.33525943108157036,-0.3376977921370822,-0.3347828313865114,-0.24220267029410192,2.529352894313678,1.1066256182657463,0.0024707790849634037,-1.1967544648826798,0.7879327158118581,0.3929633364785411,-0.8585735759286969,-0.7286814475508706,-0.3844450895874497,-0.7903444976806395,1.018132285312055,-1.0797735231800079,-0.01746291011111123,1.330779,0.3662384524769049,-0.468634,0.6621029202058404,1.8904863726827448,-677.724207,-680.970649,4.816442000000002,3.902892,-0.107108,1.27124575,1.48540505,-0.04156,,0.0480543411402151,-0.621484,-0.0777221154442308,-0.018558,-0.166513857027714,-0.884277972471945,-359.443753,-354.987929,-2.8858240000000066,,,,,,,
493,-0.34160228482091093,-0.34564048609058107,-0.3427054744902228,-0.2366734614003121,2.61001042730912,0.457561456870398,-0.034310297738304074,-1.0573454727164067,0.7764080331545617,0.29687068577631764,-0.9353983780534534,-0.7335735055062059,-0.5240642825458393,-0.5985050129255349,0.8745581455063308,0.003786699096015589,0.19719978302871466,2.333705,0.4365943331886663,-0.888987,0.8728179056358113,2.754130238824478,-708.241303,-713.608842,6.9375389999999655,3.907016,0.2793,1.27813923,1.70351192,,,-0.008075818768134,0.329121,0.045515531031062,-0.011437,0.0771897823795647,0.4403893134106268,-293.912562,-290.857191,-1.4853709999999796,,,,,,,
500,-0.3562368663764958,-0.3532646279863469,-0.3548407479584043,-0.2291938731160141,2.7495439244033673,0.6453605154161184,-0.07462970973763161,-1.164407670041772,0.7080402682809712,0.23551649372983546,-0.9815292122776818,-0.753724362376566,-0.6005498639155609,-0.5266957421040026,0.9147692267529398,1.97097812603779,0.3984195255989389,1.557747,0.3856674313348626,-0.789361,0.6394495628991257,1.7935029942339884,-694.665172,-699.205657,6.11048499999999,4.0173,-0.009664,0.86282473,1.10333886,,,-0.0324942123719064,0.244485,0.0380699361398722,-0.010102,,0.2724529361398722,-218.679673,-222.177536,5.067862999999996,,,,,,,
3621,-0.32640482797890474,-0.32820557245252857,-0.32309230975825237,-0.2566311905954245,2.417957994071896,0.9277876186822711,0.17351830433967408,-1.0406572670625815,0.8806480702329925,0.6131215185980117,-0.7921023199710944,-0.7449598227449935,-0.20474685549545807,-1.019691013973604,1.2288636111604594,0.08632416058550385,0.04558456611127837,0.853137,0.2122140244280488,-0.275913,0.3805452290904582,1.1699832535185068,-681.457637,-685.684952,5.797314999999976,4.00188,-0.047378,0.69458039,0.79923632,0.064696,,0.0370542401308151,0.209419,0.0320949841899683,-0.007919,0.0568889577779155,0.2904839419678839,-419.000246,-417.120353,-0.3098929999999813,,,,,,,
606,-0.3594220608452177,-0.3547649681862777,-0.3536285157466495,-0.26623554457406234,2.7981468372978657,0.3495605259829745,-0.11291643163735077,-1.2830261056434134,1.0495624500519405,0.47451478049086626,-0.8804434983266688,-0.7371841298161885,-0.7164572676977321,-0.3653970111109855,0.832127343120201,-0.08873984886139796,0.07701038674927407,0.143201,0.1568299336598672,-0.189418,0.2441005642011283,0.3547134978609956,-651.26694,-659.293353,9.596413000000048,3.953503,-0.538207,0.5590785,0.61564811,-0.077114,,0.021285622940719,0.066174,-0.0476997953995907,-0.038653,-0.0728924297848595,-0.0930712251844503,-371.678385,-374.083058,3.974673000000003,,,,,,,
